xn--ngbc5azd,whois.nic.xn--ngbc5azd
xn--nyqy26a,whois.nic.xn--nyqy26a
xn--o3cw4h,whois.thnic.co.th
xn--p1ai,whois.ripn.net
xn--pbt977c,whois.nic.xn--pbt977c
xn--rhqv96g,whois.nic.xn--rhqv96g
xn--rovu88b,whois.nic.xn--rovu88b
xn--tiq49xqyj,whois.nic.xn--tiq49xqyj
xn--y9a3aq,whois.amnic.net
xn--ygbi2ammx,whois.pnina.ps
xxx,whois.nic.xxx
xyz,whois.nic.xyz
yahoo,whois.nic.yahoo
yamaxun,whois.nic.yamaxun
yandex,whois.nic.yandex
yokohama,whois.nic.yokohama
you,whois.nic.you
yt,whois.nic.yt
za,whois.nic.za
zappos,whois.nic.zappos
zero,whois.nic.zero
zippo,whois.nic.zippo
zone,whois.nic.zone
